date,state,positive
6/22/20,FL,97537
6/21/20,FL,94786
6/20/20,FL,90169
6/19/20,FL,86167
6/18/20,FL,82854
6/17/20,FL,80160
6/16/20,FL,77733
6/15/20,FL,75042
6/14/20,FL,73282
6/13/20,FL,71149
6/12/20,FL,68673
6/11/20,FL,67039
6/10/20,FL,65370
6/9/20,FL,64128
6/8/20,FL,62970
6/7/20,FL,61941
6/6/20,FL,60549
6/5/20,FL,59305
6/4/20,FL,58286
6/3/20,FL,57021
6/2/20,FL,55812
6/1/20,FL,55210
5/31/20,FL,54510
5/30/20,FL,53640
5/29/20,FL,52888
5/28/20,FL,51667
5/27/20,FL,51053
5/26/20,FL,50578
5/25/20,FL,50075
5/24/20,FL,49095
5/23/20,FL,48550
5/22/20,FL,47817
5/21/20,FL,47092
5/20/20,FL,45902
5/19/20,FL,45427
5/18/20,FL,44815
5/17/20,FL,44161
5/16/20,FL,43025
5/15/20,FL,42545
5/14/20,FL,41759
5/13/20,FL,40967
5/12/20,FL,40168
5/11/20,FL,39562
5/10/20,FL,39179
5/9/20,FL,38498
5/8/20,FL,37733
5/7/20,FL,37389
5/6/20,FL,36764
5/5/20,FL,36183
5/4/20,FL,35609
5/3/20,FL,34841
5/2/20,FL,34209
5/1/20,FL,33506
4/30/20,FL,32529
4/29/20,FL,32015
4/28/20,FL,31672
4/27/20,FL,30924
4/26/20,FL,30405
4/25/20,FL,29610
4/24/20,FL,28876
4/23/20,FL,27662
4/22/20,FL,26965
4/21/20,FL,26106
4/20/20,FL,25360
4/19/20,FL,24647
4/18/20,FL,23906
4/17/20,FL,22823
4/16/20,FL,21624
4/15/20,FL,20727
4/14/20,FL,20135
4/13/20,FL,19213
4/12/20,FL,18404
4/11/20,FL,17340
4/10/20,FL,16252
4/9/20,FL,15219
4/8/20,FL,14173
4/7/20,FL,13167
4/6/20,FL,12008
4/5/20,FL,11245
4/4/20,FL,10097
4/3/20,FL,8816
4/2/20,FL,7548
4/1/20,FL,6516
3/31/20,FL,5612
3/30/20,FL,4760
3/29/20,FL,3884
3/28/20,FL,3179
3/27/20,FL,2520
3/26/20,FL,1985
3/25/20,FL,1488
3/24/20,FL,1205
3/23/20,FL,1029
3/22/20,FL,731
3/21/20,FL,528
3/20/20,FL,386
3/19/20,FL,310
3/18/20,FL,211
3/17/20,FL,149
3/16/20,FL,122
3/15/20,FL,91
3/14/20,FL,51
3/13/20,FL,31
3/12/20,FL,26
3/11/20,FL,20
3/10/20,FL,18
3/9/20,FL,13
