date,state,death,deathIncrease,hospitalizedCurrently,inIcuCurrently,onVentilatorCurrently,positive,positiveIncrease,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,Population
3/20/20,NY,35.0,23,1042.0,1105.89049,228,7102,2950,32637,10124,32637,10124,20201249
3/19/20,NY,12.0,0,617.0,1105.89049,228,4152,1769,22513,7698,22513,7698,20201249
3/18/20,NY,12.0,5,416.0,1105.89049,228,2383,1009,14815,4553,14815,4553,20201249
3/17/20,NY,7.0,0,325.0,1105.89049,228,1374,432,10262,2907,10262,2907,20201249
3/16/20,NY,7.0,4,4534.373596,1105.89049,228,942,294,7355,1936,7355,1936,20201249
3/15/20,NY,3.0,3,4534.373596,1105.89049,228,648,131,5419,1293,5419,1293,20201249
3/14/20,NY,24733.14804,0,4534.373596,1105.89049,228,517,164,4126,1290,4126,1290,20201249
3/13/20,NY,24733.14804,0,4534.373596,1105.89049,228,353,102,2836,762,2836,762,20201249
3/12/20,NY,24733.14804,0,4534.373596,1105.89049,228,251,56,2074,553,2074,553,20201249
3/11/20,NY,24733.14804,0,4534.373596,1105.89049,228,195,44,1521,425,1521,425,20201249
3/10/20,NY,24733.14804,0,4534.373596,1105.89049,228,151,63,1096,401,1096,401,20201249
3/9/20,NY,24733.14804,0,4534.373596,1105.89049,228,88,28,695,307,695,307,20201249
3/8/20,NY,24733.14804,0,4534.373596,1105.89049,228,60,24,388,200,388,200,20201249
3/7/20,NY,24733.14804,0,4534.373596,1105.89049,228,36,11,188,66,188,66,20201249
3/6/20,NY,24733.14804,0,4534.373596,1105.89049,228,25,22,122,92,122,92,20201249
3/5/20,NY,24733.14804,0,4534.373596,1105.89049,228,3,2,30,20,30,20,20201249
3/4/20,NY,24733.14804,0,4534.373596,1105.89049,228,1,0,10,9,10,9,20201249
3/3/20,NY,24733.14804,0,4534.373596,1105.89049,228,1,1,1,1,1,1,20201249
3/2/20,NY,24733.14804,0,4534.373596,1105.89049,228,0,0,0,0,0,0,20201249
